#name             Mdyn  eMdyn     SpT     Av     L      Teff  eTeff 
CW_Tau            0.64  0.01      K3      1.80   -0.34  4543  83
HN_Tau_A          1.53  0.15      K3      1.15   -0.73  4543  83
LkCa_15           1.14  0.03      K5.5    0.30   -0.11  4162  47
DL_Tau            1.04  0.02      K5.5    1.80   -0.20  4162  47
CI_Tau            0.90  0.02      K5.5    1.90   -0.09  4162  47
GM_Aur            1.14  0.02      K6      0.30   -0.21  4115  47
GK_Tau            0.73  0.06      K6.5    1.35    0.06  4067  47
DK_Tau_A          0.60  0.14      K8.5    0.70   -0.23  3960  45
Haro_6-13         0.93  0.14      M0      2.20   -0.21  3900  42
IRAS_04385+2550   0.6   0.1       M0      5.24   -0.30  3900  42
DN_Tau            0.87  0.15      M0.3    0.55   -0.16  3846  53
DS_Tau            0.83  0.02      M0.4    0.25   -0.63  3828  53
BP_Tau            1.10  0.04      M0.5    0.45   -0.42  3810  53
AA_Tau            0.84  0.02      M0.6    0.40   -0.39  3791  53
IP_Tau            0.94  0.05      M0.6    0.75   -0.47  3791  53
HK_Tau_A          0.53  0.03      M1      2.40   -0.41  3720  50
IQ_Tau            0.74  0.02      M1.1    0.85   -0.78  3704  49
DK_Tau_B          1.30  0.30      M1.7    1.80   -0.65  3607  47
IRAS_04200+2759   0.52  0.04      M2      1.96   -0.60  3560  46
CY_Tau            0.30  0.02      M2.3    0.35   -0.61  3515  44
DE_Tau            0.41  0.03      M2.3    0.35   -0.30  3515  44
GO_Tau            0.45  0.01      M2.3    1.50   -0.74  3515  44
CX_Tau            0.38  0.02      M2.5    0.25   -0.55  3485  44
FP_Tau            0.36  0.02      M2.6    0.60   -0.76  3470  44
DM_Tau            0.55  0.02      M3      0.10   -0.95  3410  38
HO_Tau            0.43  0.03      M3.2    1.00   -0.85  3387  34
V710_Tau_A        0.69  0.06      M3.3    0.80   -0.46  3377  32
FM_Tau            0.36  0.02      M4.5    0.35   -1.15  3245  32 
