ID,SFR,2MASS_ID,NAME,PI,EPI,FL_PI,DPC,EDPC_H,EDPC_L,FL_MULT,SEP,SED,SPT,REF_SPT,FL_Teff,logTeff,elogTeff,REF_Teff,logLs_in,d_in,elogLs_in,FL_logLs,logLs,elogLs_H,elogLs_L,REF_Ls,FL_logMs,logMs,elogMs_H,elogMs_L,FL_logt,logt,elogt_H,elogt_L,nu_B7,FL_B7,F_B7,eF_B7,LIM_B7,REF_B7,nu_B6,FL_B6,F_B6,eF_B6,LIM_B6,REF_B6,nu_B3,FL_B3,F_B3,eF_B3,LIM_B3,REF_B3,FL_A67,A67,eA67_hi,eA67_lo,LIM_A67,FL_A36,A36,eA36_hi,eA36_lo,LIM_A36,FL_R7,R7,eR7_hi,eR7_lo,LIM_R7,REF_R7,FL_R6,R6,eR6_hi,eR6_lo,LIM_R6,REF_R6,FL_Mgas,Mgas,FL_RCO,R_CO,eR_CO
1,Tau,J04135737+2918193,IRAS_04108+2910,8.10,0.10,GaiaDR2,123.0,2.4,1.9,S,-1,II,M0,Luhman10,0,3.586,0.024,Andrews13,-0.691,140.0,0.290,0,-0.803,0.289,0.289,Andrews13,0,-0.228,0.082,0.134,0,7.01,0.38,0.56,0.0,-1,0.00,0.00,0.00,none,230.6,1,-1.00,-1.00,19.80,Schaefer09,111.0,1,-1.00,-1.00,5.10,Schaefer09,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
2,Tau,J04141188+2811535,J04141188,7.63,0.17,GaiaDR2,130.7,3.6,3.2,S,-1,II,M6.25,Luhman10,0,3.472,0.019,Andrews13,-1.746,140.0,0.082,0,-1.799,0.079,0.090,Andrews13,0,-1.330,0.412,0.021,0,6.75,0.32,0.49,338.7,0,1.06,0.21,0.00,Ward-Duong18,230.6,1,0.91,0.65,2.86,Scholz06,0.0,-1,0.00,0.00,0.00,none,1,-1.00,0.00,0.00,-2.58,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
3,Tau,J04141358+2812492,FM_Tau,7.58,0.05,GaiaDR2,131.4,2.1,1.7,S,-1,II,M0,Luhman10,0,3.586,0.024,Andrews13,-0.393,140.0,0.122,0,-0.458,0.133,0.112,Andrews13,0,-0.188,0.084,0.169,0,6.49,0.35,0.31,347.4,0,32.00,8.00,0.00,Andrews05,220.0,0,11.30,0.20,0.00,Pietu14,100.7,0,2.65,0.24,0.00,Ricci10,0,2.28,0.57,0.72,0.00,0,1.86,0.22,0.21,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,0,0.40,0.10
4,Tau,J04141458+2827580,FN_Tau,7.62,0.06,GaiaDR2,130.4,2.4,1.6,S,-1,II,M5,Luhman10,0,3.495,0.020,Andrews13,-0.082,140.0,0.097,0,-0.138,0.096,0.101,Andrews13,0,-0.527,0.067,0.045,0,5.72,0.13,0.00,339.7,0,44.00,0.20,0.00,Tripathi17,230.6,1,-1.00,-1.00,17.70,Schaefer09,102.5,0,4.10,0.80,0.00,Ricci12,1,-1.00,0.00,0.00,2.35,2,-1.00,0.00,0.00,1.80,1,1.25,0.19,0.50,1.61,Tripathi17,,,,,,,,,,,
5,Tau,J04141700+2810578,CW_Tau,7.55,0.04,GaiaDR2,132.0,2.0,1.8,S,-1,II,K3,Luhman10,0,3.675,0.016,Andrews13,0.384,140.0,0.205,0,0.325,0.213,0.196,Andrews13,0,0.113,0.063,0.073,0,6.20,0.30,0.33,343.0,0,145.10,1.40,0.00,Bacciotti18,220.0,0,58.70,0.40,0.00,Pietu14,84.2,0,3.44,0.31,0.00,Ricci10,0,2.04,0.32,0.32,0.00,0,2.95,0.18,0.17,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
6,Tau,J04141760+2806096,CIDA_1,7.37,0.09,GaiaDR2,135.2,2.6,2.3,S,-1,II,M5.5,Luhman10,0,3.485,0.020,Andrews13,-0.901,140.0,0.089,0,-0.928,0.088,0.093,Andrews13,0,-0.868,0.170,0.032,0,6.13,0.19,0.30,338.0,0,35.40,0.20,0.00,Pinilla18,230.6,0,13.50,2.80,0.00,Schaefer09,93.0,0,1.98,0.11,0.00,Ricci14,0,2.52,0.73,0.61,0.00,0,2.11,0.27,0.31,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
7,Tau,J04142626+2806032,MHO_1+2,7.54,0.22,GaiaDR2,132.3,4.5,3.9,HJ,3.93,II,,,0,,,,,,,0,0.301,0.882,0.112,Andrews13,0,-0.024,0.125,0.062,0,5.77,0.43,0.24,340.2,0,771.90,3.30,0.00,Akeson14,223.6,0,350.08,0.79,0.00,Akeson14,102.5,0,8.07,1.10,0.00,Ricci12,9,1.88,0.34,0.34,0.00,9,4.83,0.27,0.24,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
8,Tau,J04142626+2806032,MHO_1,7.04,0.54,GaiaDR2,141.7,13.7,9.0,HC,0,II,M2.5,Luhman10,0,3.543,0.018,Andrews13,0.230,140.0,0.883,0,0.172,0.969,0.811,Andrews13,0,-0.479,0.103,0.113,0,5.16,1.65,0.10,340.2,0,476.70,3.20,0.00,Akeson14,223.6,0,216.74,0.76,0.00,Akeson14,102.5,0,5.05,1.10,0.00,Ricci12,0,1.88,0.34,0.34,0.00,9,4.82,0.37,0.31,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
9,Tau,J04142639+2805597,MHO_2_AB,7.54,0.22,GaiaDR2,131.9,4.9,3.6,HCB,0.05,II,,,0,,,,,,,0,0.094,0.173,0.143,Andrews13,0,-0.228,0.187,0.073,0,5.78,0.34,0.24,340.2,0,295.20,3.30,0.00,Akeson14,223.6,0,133.34,0.79,0.00,Akeson14,102.5,0,3.02,1.10,0.00,Ricci12,9,1.89,0.34,0.34,0.00,9,4.86,0.62,0.43,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
,Tau,J04142639+2805597,MHO_2_A,7.54,0.22,GaiaDR2,132.6,4.3,4.3,HC,0,II,M2.5,Luhman10,0,3.543,0.018,Andrews13,0.019,140.0,0.189,0,-0.028,0.190,0.191,Andrews13,0,-0.490,0.074,0.096,0,5.13,0.63,0.19,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Tau,J04142639+2805597,MHO_2_B,7.54,0.22,GaiaDR2,132.2,4.7,3.8,HC,0,II,M5.5,Andrews13,0,3.485,0.071,Andrews13,-0.491,140.0,0.255,0,-0.549,0.265,0.248,Andrews13,0,-0.557,0.320,0.165,0,6.02,0.76,0.14,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
10,Tau,J04143054+2805147,MHO_3_AB,7.21,0.79,avg,138.0,22.0,10.8,CB,0.031,II,,,0,,,,,,,0,0.127,0.177,0.156,Andrews13,0,0.041,0.103,0.133,0,6.08,0.34,0.45,345.0,0,18.30,4.62,0.00,Buckle15,224.5,1,-1.00,-1.00,12.00,Harris12,0.0,-1,0.00,0.00,0.00,none,1,-1.00,0.00,0.00,0.98,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
,Tau,J04143054+2805147,MHO_3_A,7.21,0.79,avg,136.7,23.4,9.5,B,0,II,K7,Luhman10,0,3.609,0.023,Andrews13,-0.042,140.0,0.188,0,-0.025,0.211,0.216,Andrews13,0,-0.140,0.092,0.153,0,6.04,0.46,0.39,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
,Tau,J04143054+2805147,MHO_3_B,7.21,0.79,avg,137.4,22.5,10.3,B,0,II,M2,Andrews13,0,3.552,0.053,Andrews13,-0.453,140.0,0.199,0,-0.434,0.218,0.226,Andrews13,0,-0.636,0.445,0.081,0,5.99,0.67,0.72,,-1,,,,,,,,,,,,,,,,,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,,,,,,,,,,,,
11,Tau,J04144730+2646264,FP_Tau,7.78,0.05,GaiaDR2,128.1,1.9,1.7,S,-1,II,M4,Luhman10,0,3.515,0.019,Andrews13,-0.490,140.0,0.048,0,-0.569,0.051,0.047,Andrews13,0,-0.707,0.156,0.083,0,5.97,0.09,0.70,338.7,0,18.68,0.26,0.00,Ward-Duong18,230.6,1,-1.00,-1.00,9.30,Schaefer09,100.8,0,11.80,0.26,0.00,Ricci10,1,-1.00,0.00,0.00,1.81,2,-1.00,0.00,0.00,-0.29,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,0,0.70,0.15
12,Tau,J04144786+2648110,CX_Tau,7.82,0.04,GaiaDR2,127.4,1.9,1.6,S,-1,II,M2.5,Luhman10,0,3.543,0.018,Andrews13,-0.431,140.0,0.065,0,-0.514,0.068,0.065,Andrews13,0,-0.431,0.082,0.206,0,6.10,0.26,0.25,345.0,0,25.00,6.00,0.00,Andrews05,220.0,0,9.60,0.20,0.00,Pietu14,86.2,0,1.01,0.13,0.00,Ricci10,0,2.13,0.57,0.70,0.00,0,2.40,0.21,0.20,0.00,-1,0.00,0.00,0.00,0.00,none,0,1.146,0.100,0.100,0,Facchini19,,,0,0.90,0.07
13,Tau,J04144928+2812305,FO_Tau_AB,6.37,0.38,GaiaDR2,156.0,11.9,7.7,J,0.15,II,,,0,,,,,,,0,-0.011,0.088,0.077,Andrews13,0,-0.301,0.077,0.066,0,5.49,0.28,0.29,345.0,0,13.00,3.00,0.00,Andrews05,239.9,0,6.01,0.19,0.00,Akeson19,0.0,-1,0.00,0.00,0.00,none,0,2.12,0.69,0.84,0.00,-1,0.00,0.00,0.00,0.00,-1,0.00,0.00,0.00,0.00,none,,,,,,,,,,,
