#name             arch?  ruling  SpT   Av     Teff  eTeff  L     
HP_Tau            yes    no      K4    3.15   4376  83      0.11
LR_1              no     no      K4.5  28.15  4293  83      0.35
IRAS_04260+2642   yes    no      K5.5  6.54   4162  47      0.10
DR_Tau            yes    yes     K6    0.45   4115  47     -0.22
DG_Tau            yes    yes     K7    1.60   4020  43     -0.44    
V819_Tau          yes    no      K8    1.00   3980  40     -0.32
JH_56             no     no      K8    0.35   3980  40     -0.40
IRAS_04108+2910   no     no      M0    1.73   3900  42     -0.80
V410_X-ray_2      no     no      M0    17.61  3900  42      0.38
FY_Tau	          no     no      M0.1  3.05   3881  39     -0.46         
DO_Tau            yes    yes     M0.3  1.00   3846  53     -0.64
GI_Tau            yes    no      M0.4  2.55   3828  53     -0.32
FZ_Tau            yes    no      M0.5  3.50   3810  53     -0.55
IRAS_04303+2240   yes    no      M0.5  7.81   3810  53      0.21
V409_Tau          yes    no      M0.6  1.00   3791  53     -0.19
V836_Tau          yes    no      M0.8  0.60   3756  52     -0.36
IRAS_04196+2638   no     no      M1    5.57   3720  50     -0.31
J04333278         no     no      M1    0.00   3720  50     -0.68
IRAS_04125+2902   no     no      M1.3  2.39   3672  47     -0.39
J04221675         no     no      M1.5  3.75   3640  47     -1.17
J04333905         no     no      M1.8  2.81   3592  47     -1.04
IRAS_04187+1927   yes    no      M2.4  3.10   3500  44     -0.45
IRAS_04429+1550   no     no      M2.5  0.00   3485  44     -0.57
FT_Tau            yes    no      M2.8  1.30   3440  42     -0.83
IRAS_04216+2603   no     no      M2.8  1.90   3440  42     -0.96    
XEST_13-010       no     no      M3    3.76   3410  38     -0.36
LkHa_267          yes?   no      M3    5.68   3410  38     -0.73
J04202606         no     no      M3.5  0.25   3355  32     -0.82
J04231822         no     no      M3.5  6.87   3355  32     -0.59
ITG_40            yes    no      M3.5  19.49  3355  32     -0.56
XEST_26-071       yes    no      M3.5  1.12   3355  32     -0.81
CIDA_8            no     no      M3.7  1.70   3332  32     -0.61    
V410_X-ray_1      yes    no      M3.7  1.70   3332  32     -1.57
CIDA_12           yes    no?     M3.7  0.50   3332  32     -0.93
J04153916         no     no      M4.0  1.80   3300  32     -0.64
XEST_26-062       yes    no?     M4.0  0.85   3300  32     -0.62
IRAS_04173+2812   yes    no?     M4.0  12.21  3300  32     -1.15
J04324938         yes    no      M4.3  4.81   3267  32     -0.23
J04385859         yes    no?     M4.3  1.75   3267  32     -1.22
J04322415         yes    no      M4.5  1.68   3245  32     -0.95
J04554535         yes    no      M4.7  0.70   3222  37     -0.91
J04161210         yes    maybe?  M4.8  2.71   3212  38     -1.12
