# rau, sigma_d, hdust
5.033958e-01 2.244059e+01 1.610917e-03
5.102335e-01 2.228971e+01 1.637210e-03
5.171640e-01 2.213986e+01 1.663933e-03
5.241888e-01 2.199101e+01 1.691091e-03
5.313089e-01 2.184316e+01 1.718693e-03
5.385257e-01 2.169630e+01 1.746745e-03
5.458406e-01 2.155044e+01 1.775255e-03
5.532548e-01 2.140555e+01 1.804230e-03
5.607697e-01 2.126164e+01 1.833679e-03
5.683868e-01 2.111869e+01 1.863608e-03
5.761072e-01 2.097671e+01 1.894025e-03
5.839326e-01 2.083568e+01 1.924939e-03
5.918642e-01 2.069560e+01 1.956358e-03
5.999036e-01 2.055646e+01 1.988289e-03
6.080521e-01 2.041825e+01 2.020741e-03
6.163114e-01 2.028098e+01 2.053724e-03
6.246828e-01 2.014463e+01 2.087244e-03
6.331680e-01 2.000919e+01 2.121312e-03
6.417684e-01 1.987467e+01 2.155935e-03
6.504856e-01 1.974104e+01 2.191124e-03
6.593213e-01 1.960832e+01 2.226887e-03
6.682769e-01 1.947649e+01 2.263234e-03
6.773542e-01 1.934555e+01 2.300174e-03
6.865548e-01 1.921549e+01 2.337717e-03
6.958804e-01 1.908630e+01 2.375873e-03
7.053326e-01 1.895798e+01 2.414652e-03
7.149132e-01 1.883052e+01 2.454063e-03
7.246240e-01 1.870392e+01 2.494118e-03
7.344666e-01 1.857817e+01 2.534826e-03
7.444430e-01 1.845327e+01 2.576199e-03
7.545549e-01 1.832920e+01 2.618248e-03
7.648041e-01 1.820597e+01 2.660982e-03
7.751925e-01 1.808357e+01 2.704414e-03
7.857221e-01 1.796199e+01 2.748555e-03
7.963946e-01 1.784123e+01 2.793417e-03
8.072122e-01 1.772128e+01 2.839010e-03
8.181766e-01 1.760214e+01 2.885348e-03
8.292900e-01 1.748380e+01 2.932442e-03
8.405544e-01 1.736625e+01 2.980305e-03
8.519718e-01 1.724949e+01 3.028949e-03
8.635442e-01 1.713352e+01 3.078387e-03
8.752738e-01 1.701833e+01 3.128632e-03
8.871628e-01 1.690392e+01 3.179697e-03
8.992133e-01 1.679027e+01 3.231595e-03
9.114274e-01 1.667738e+01 3.284341e-03
9.238074e-01 1.656526e+01 3.337947e-03
9.363556e-01 1.645389e+01 3.392429e-03
9.490743e-01 1.634327e+01 3.447799e-03
9.619657e-01 1.623339e+01 3.504074e-03
9.750322e-01 1.612425e+01 3.561267e-03
9.882762e-01 1.601584e+01 3.619393e-03
1.001700e+00 1.590817e+01 3.678468e-03
1.015306e+00 1.580121e+01 3.738507e-03
