# rau, sigma_d, hdust
1.008387e-01 5.013896e+01 6.281194e-04
1.025302e-01 4.972366e+01 6.413164e-04
1.042501e-01 4.931179e+01 6.547907e-04
1.059988e-01 4.890334e+01 6.685481e-04
1.077769e-01 4.849827e+01 6.825946e-04
1.095847e-01 4.809655e+01 6.969361e-04
1.114229e-01 4.769817e+01 7.115790e-04
1.132920e-01 4.730308e+01 7.265296e-04
1.151924e-01 4.691126e+01 7.417943e-04
1.171246e-01 4.652269e+01 7.573797e-04
1.190893e-01 4.613734e+01 7.732926e-04
1.210870e-01 4.575518e+01 7.895398e-04
1.231181e-01 4.537619e+01 8.061284e-04
1.251833e-01 4.500034e+01 8.230655e-04
1.272832e-01 4.462759e+01 8.403585e-04
1.294183e-01 4.425794e+01 8.580149e-04
1.315892e-01 4.389135e+01 8.760422e-04
1.337965e-01 4.352779e+01 8.944483e-04
1.360408e-01 4.316725e+01 9.132411e-04
1.383228e-01 4.280969e+01 9.324288e-04
1.406431e-01 4.245510e+01 9.520196e-04
1.430022e-01 4.210344e+01 9.720220e-04
1.454010e-01 4.175469e+01 9.924447e-04
1.478400e-01 4.140883e+01 1.013297e-03
1.503199e-01 4.106584e+01 1.034587e-03
1.528414e-01 4.072569e+01 1.056324e-03
1.554052e-01 4.038836e+01 1.078518e-03
1.580120e-01 4.005382e+01 1.101178e-03
1.606626e-01 3.972205e+01 1.124314e-03
1.633576e-01 3.939303e+01 1.147937e-03
1.660978e-01 3.906673e+01 1.172056e-03
1.688839e-01 3.874314e+01 1.196681e-03
1.717169e-01 3.842223e+01 1.221825e-03
1.745973e-01 3.810397e+01 1.247496e-03
1.775260e-01 3.778835e+01 1.273707e-03
1.805039e-01 3.747535e+01 1.300468e-03
1.835317e-01 3.716494e+01 1.327792e-03
1.866103e-01 3.685710e+01 1.355689e-03
1.897406e-01 3.655181e+01 1.384173e-03
1.929233e-01 3.624905e+01 1.413256e-03
1.961595e-01 3.594879e+01 1.442949e-03
1.994499e-01 3.565103e+01 1.473267e-03
2.027956e-01 3.535573e+01 1.504221e-03
2.061973e-01 3.506287e+01 1.535826e-03
2.096561e-01 3.477244e+01 1.568095e-03
2.131729e-01 3.448442e+01 1.601042e-03
2.167488e-01 3.419878e+01 1.634681e-03
2.203846e-01 3.391551e+01 1.669027e-03
2.240814e-01 3.363459e+01 1.704094e-03
2.278402e-01 3.335599e+01 1.739898e-03
2.316620e-01 3.307970e+01 1.776455e-03
2.355480e-01 3.280570e+01 1.813780e-03
2.394991e-01 3.253397e+01 1.851889e-03
2.435166e-01 3.226448e+01 1.890798e-03
2.476014e-01 3.199724e+01 1.930525e-03
2.517547e-01 3.173220e+01 1.971087e-03
2.559777e-01 3.146936e+01 2.012501e-03
2.602715e-01 3.120870e+01 2.054786e-03
2.646374e-01 3.095019e+01 2.097959e-03
2.690765e-01 3.069383e+01 2.142038e-03
2.735901e-01 3.043959e+01 2.187044e-03
2.781794e-01 3.018746e+01 2.232996e-03
2.828456e-01 2.993741e+01 2.279913e-03
2.875901e-01 2.968944e+01 2.327816e-03
2.924143e-01 2.944352e+01 2.376726e-03
2.973193e-01 2.919964e+01 2.426663e-03
3.023066e-01 2.895777e+01 2.477649e-03
3.073776e-01 2.871791e+01 2.529707e-03
3.125336e-01 2.848004e+01 2.582858e-03
3.177762e-01 2.824414e+01 2.637126e-03
3.231066e-01 2.801019e+01 2.692535e-03
3.285265e-01 2.777818e+01 2.749107e-03
3.340373e-01 2.754809e+01 2.806868e-03
3.396405e-01 2.731991e+01 2.865843e-03
3.453378e-01 2.709361e+01 2.926057e-03
3.511305e-01 2.686920e+01 2.987537e-03
3.570205e-01 2.664664e+01 3.050308e-03
3.630093e-01 2.642592e+01 3.114397e-03
3.690985e-01 2.620703e+01 3.179834e-03
3.752898e-01 2.598996e+01 3.246645e-03
3.815851e-01 2.577468e+01 3.314860e-03
3.879859e-01 2.556119e+01 3.384509e-03
3.944941e-01 2.534946e+01 3.455621e-03
4.011114e-01 2.513949e+01 3.528227e-03
4.078398e-01 2.493126e+01 3.602358e-03
4.146810e-01 2.472475e+01 3.678047e-03
4.216370e-01 2.451995e+01 3.755327e-03
4.287096e-01 2.431685e+01 3.834230e-03
4.359009e-01 2.411543e+01 3.914791e-03
4.432128e-01 2.391568e+01 3.997045e-03
4.506474e-01 2.371759e+01 4.081027e-03
4.582067e-01 2.352113e+01 4.166773e-03
4.658928e-01 2.332631e+01 4.254321e-03
4.737078e-01 2.313309e+01 4.343709e-03
4.816539e-01 2.294148e+01 4.434975e-03
4.897333e-01 2.275145e+01 4.528158e-03
4.979482e-01 2.256300e+01 4.623299e-03
5.063009e-01 2.237611e+01 4.720440e-03
5.147938e-01 2.219077e+01 4.819621e-03
5.234291e-01 2.200696e+01 4.920887e-03
5.322092e-01 2.182468e+01 5.024280e-03
5.411366e-01 2.164390e+01 5.129845e-03
5.502138e-01 2.146462e+01 5.237629e-03
5.594432e-01 2.128683e+01 5.347677e-03
5.688275e-01 2.111051e+01 5.460037e-03
5.783692e-01 2.093565e+01 5.574759e-03
5.880709e-01 2.076224e+01 5.691891e-03
5.979354e-01 2.059026e+01 5.811483e-03
6.079653e-01 2.041971e+01 5.933589e-03
6.181635e-01 2.025057e+01 6.058260e-03
6.285327e-01 2.008284e+01 6.185551e-03
6.390759e-01 1.991649e+01 6.315516e-03
6.497959e-01 1.975152e+01 6.448213e-03
6.606958e-01 1.958792e+01 6.583697e-03
6.717785e-01 1.942567e+01 6.722028e-03
6.830471e-01 1.926476e+01 6.863265e-03
6.945047e-01 1.910519e+01 7.007470e-03
7.061545e-01 1.894694e+01 7.154705e-03
7.179997e-01 1.879000e+01 7.305033e-03
7.300437e-01 1.863436e+01 7.458521e-03
7.422896e-01 1.848001e+01 7.615233e-03
7.547410e-01 1.832694e+01 7.775238e-03
7.674012e-01 1.817514e+01 7.938604e-03
7.802738e-01 1.802459e+01 8.105404e-03
7.933624e-01 1.787529e+01 8.275708e-03
8.066704e-01 1.772723e+01 8.449590e-03
8.202018e-01 1.758040e+01 8.627126e-03
8.339601e-01 1.743478e+01 8.808392e-03
8.479491e-01 1.729036e+01 8.993466e-03
8.621729e-01 1.714714e+01 9.182430e-03
8.766352e-01 1.700511e+01 9.375364e-03
8.913401e-01 1.686426e+01 9.572351e-03
9.062917e-01 1.672457e+01 9.773478e-03
9.214941e-01 1.658604e+01 9.978830e-03
9.369515e-01 1.644866e+01 1.018850e-02
9.526682e-01 1.631241e+01 1.040257e-02
9.686485e-01 1.617729e+01 1.062114e-02
9.848969e-01 1.604330e+01 1.084430e-02
1.001418e+00 1.591041e+01 1.107216e-02
1.018216e+00 1.577862e+01 1.130480e-02
1.035296e+00 1.564793e+01 1.154232e-02
1.052662e+00 1.551831e+01 1.178484e-02
1.070320e+00 1.538977e+01 1.203246e-02
1.088274e+00 1.526230e+01 1.228527e-02
1.106529e+00 1.513588e+01 1.254340e-02
1.125090e+00 1.501051e+01 1.280695e-02
1.143962e+00 1.488618e+01 1.307604e-02
1.163151e+00 1.476287e+01 1.335079e-02
1.182662e+00 1.464059e+01 1.363130e-02
1.202501e+00 1.451932e+01 1.391771e-02
1.222672e+00 1.439906e+01 1.421014e-02
1.243181e+00 1.427979e+01 1.450872e-02
1.264035e+00 1.416151e+01 1.481356e-02
1.285238e+00 1.404421e+01 1.512481e-02
1.306797e+00 1.392788e+01 1.544261e-02
1.328718e+00 1.381251e+01 1.576707e-02
1.351006e+00 1.369810e+01 1.609836e-02
1.373668e+00 1.358464e+01 1.643661e-02
1.396710e+00 1.347212e+01 1.678196e-02
1.420139e+00 1.336053e+01 1.713457e-02
1.443961e+00 1.324986e+01 1.749459e-02
1.468182e+00 1.314011e+01 1.786218e-02
1.492810e+00 1.303127e+01 1.823748e-02
1.517851e+00 1.292333e+01 1.862068e-02
1.543312e+00 1.281629e+01 1.901192e-02
1.569200e+00 1.271013e+01 1.941139e-02
1.595522e+00 1.260485e+01 1.981925e-02
1.622285e+00 1.250044e+01 2.023567e-02
1.649498e+00 1.239690e+01 2.066085e-02
1.677167e+00 1.229421e+01 2.109496e-02
1.705301e+00 1.219238e+01 2.153820e-02
1.733906e+00 1.209139e+01 2.199074e-02
1.762991e+00 1.199124e+01 2.245280e-02
1.792564e+00 1.189191e+01 2.292456e-02
1.822633e+00 1.179341e+01 2.340623e-02
1.853206e+00 1.169572e+01 2.389803e-02
1.884292e+00 1.159885e+01 2.440016e-02
1.915900e+00 1.150277e+01 2.491284e-02
1.948038e+00 1.140750e+01 2.543629e-02
1.980715e+00 1.131301e+01 2.597074e-02
2.013940e+00 1.121930e+01 2.651642e-02
2.047722e+00 1.112637e+01 2.707357e-02
