# rau, sigma_g, hau_mid
1.008387e-01 7.185577e+03 1.234688e-03
1.025302e-01 7.096481e+03 1.265884e-03
1.042501e-01 7.008490e+03 1.297869e-03
1.059988e-01 6.921589e+03 1.330661e-03
1.077769e-01 6.835766e+03 1.364283e-03
1.095847e-01 6.751007e+03 1.393872e-03
1.114229e-01 6.667299e+03 1.423158e-03
1.132920e-01 6.584629e+03 1.453059e-03
1.151924e-01 6.502984e+03 1.483589e-03
1.171246e-01 6.422351e+03 1.514759e-03
1.190893e-01 6.342718e+03 1.546585e-03
1.210870e-01 6.264072e+03 1.579080e-03
1.231181e-01 6.186401e+03 1.612257e-03
1.251833e-01 6.109693e+03 1.646131e-03
1.272832e-01 6.033936e+03 1.680717e-03
1.294183e-01 5.959119e+03 1.716030e-03
1.315892e-01 5.885229e+03 1.752084e-03
1.337965e-01 5.812255e+03 1.788897e-03
1.360408e-01 5.740186e+03 1.826482e-03
1.383228e-01 5.669010e+03 1.864858e-03
1.406431e-01 5.598717e+03 1.904039e-03
1.430022e-01 5.529295e+03 1.944044e-03
1.454010e-01 5.460734e+03 1.984889e-03
1.478400e-01 5.393023e+03 2.026593e-03
1.503199e-01 5.326152e+03 2.069173e-03
1.528414e-01 5.260109e+03 2.112648e-03
1.554052e-01 5.194886e+03 2.157035e-03
1.580120e-01 5.130471e+03 2.202356e-03
1.606626e-01 5.066855e+03 2.248629e-03
1.633576e-01 5.004027e+03 2.295874e-03
1.660978e-01 4.941978e+03 2.344112e-03
1.688839e-01 4.880699e+03 2.393363e-03
1.717169e-01 4.820179e+03 2.443649e-03
1.745973e-01 4.760410e+03 2.494992e-03
1.775260e-01 4.701382e+03 2.547413e-03
1.805039e-01 4.643085e+03 2.600936e-03
1.835317e-01 4.585511e+03 2.655583e-03
1.866103e-01 4.528651e+03 2.711379e-03
1.897406e-01 4.472496e+03 2.768347e-03
1.929233e-01 4.417037e+03 2.826512e-03
1.961595e-01 4.362266e+03 2.885899e-03
1.994499e-01 4.308174e+03 2.946533e-03
2.027956e-01 4.254752e+03 3.008442e-03
2.061973e-01 4.201993e+03 3.071652e-03
2.096561e-01 4.149888e+03 3.136189e-03
2.131729e-01 4.098429e+03 3.202083e-03
2.167488e-01 4.047607e+03 3.269361e-03
2.203846e-01 3.997416e+03 3.338053e-03
2.240814e-01 3.947847e+03 3.408188e-03
2.278402e-01 3.898893e+03 3.479797e-03
2.316620e-01 3.850545e+03 3.552910e-03
2.355480e-01 3.802797e+03 3.627559e-03
2.394991e-01 3.755641e+03 3.703777e-03
2.435166e-01 3.709069e+03 3.781596e-03
2.476014e-01 3.663075e+03 3.861051e-03
2.517547e-01 3.617651e+03 3.942175e-03
2.559777e-01 3.572790e+03 4.025003e-03
2.602715e-01 3.528485e+03 4.109572e-03
2.646374e-01 3.484730e+03 4.195917e-03
2.690765e-01 3.441517e+03 4.284077e-03
2.735901e-01 3.398839e+03 4.374089e-03
2.781794e-01 3.356691e+03 4.465992e-03
2.828456e-01 3.315065e+03 4.559827e-03
2.875901e-01 3.273955e+03 4.655632e-03
2.924143e-01 3.233355e+03 4.753451e-03
2.973193e-01 3.193258e+03 4.853325e-03
3.023066e-01 3.153659e+03 4.955298e-03
3.073776e-01 3.114550e+03 5.059413e-03
3.125336e-01 3.075926e+03 5.165716e-03
3.177762e-01 3.037780e+03 5.274252e-03
3.231066e-01 3.000108e+03 5.385069e-03
3.285265e-01 2.962903e+03 5.498214e-03
3.340373e-01 2.926158e+03 5.613737e-03
3.396405e-01 2.889870e+03 5.731687e-03
3.453378e-01 2.854031e+03 5.852115e-03
3.511305e-01 2.818636e+03 5.975073e-03
3.570205e-01 2.783681e+03 6.100615e-03
3.630093e-01 2.749158e+03 6.228795e-03
3.690985e-01 2.715064e+03 6.359668e-03
3.752898e-01 2.681392e+03 6.493290e-03
3.815851e-01 2.648137e+03 6.629721e-03
3.879859e-01 2.615295e+03 6.769018e-03
3.944941e-01 2.582859e+03 6.911241e-03
4.011114e-01 2.550826e+03 7.056453e-03
4.078398e-01 2.519190e+03 7.204716e-03
4.146810e-01 2.487946e+03 7.356094e-03
4.216370e-01 2.457090e+03 7.510653e-03
4.287096e-01 2.426615e+03 7.668460e-03
4.359009e-01 2.396519e+03 7.829582e-03
4.432128e-01 2.366795e+03 7.994089e-03
4.506474e-01 2.337440e+03 8.162053e-03
4.582067e-01 2.308449e+03 8.333546e-03
4.658928e-01 2.279817e+03 8.508642e-03
4.737078e-01 2.251540e+03 8.687418e-03
4.816539e-01 2.223614e+03 8.869949e-03
4.897333e-01 2.196034e+03 9.056316e-03
4.979482e-01 2.168795e+03 9.246599e-03
5.063009e-01 2.141894e+03 9.440880e-03
5.147938e-01 2.115327e+03 9.639243e-03
5.234291e-01 2.089088e+03 9.841773e-03
5.322092e-01 2.063175e+03 1.004856e-02
5.411366e-01 2.037583e+03 1.025969e-02
5.502138e-01 2.012309e+03 1.047526e-02
5.594432e-01 1.987347e+03 1.069535e-02
5.688275e-01 1.962695e+03 1.092007e-02
5.783692e-01 1.938349e+03 1.114952e-02
5.880709e-01 1.914304e+03 1.138378e-02
5.979354e-01 1.890557e+03 1.162297e-02
6.079653e-01 1.867104e+03 1.186718e-02
6.181635e-01 1.843942e+03 1.211652e-02
6.285327e-01 1.821067e+03 1.237110e-02
6.390759e-01 1.798476e+03 1.263103e-02
6.497959e-01 1.776164e+03 1.289643e-02
6.606958e-01 1.754129e+03 1.316739e-02
6.717785e-01 1.732367e+03 1.344406e-02
6.830471e-01 1.710875e+03 1.372653e-02
6.945047e-01 1.689649e+03 1.401494e-02
7.061545e-01 1.668686e+03 1.430941e-02
7.179997e-01 1.647983e+03 1.461007e-02
7.300437e-01 1.627536e+03 1.491704e-02
7.422896e-01 1.607343e+03 1.523047e-02
7.547410e-01 1.587399e+03 1.555048e-02
7.674012e-01 1.567703e+03 1.587721e-02
7.802738e-01 1.548251e+03 1.621081e-02
7.933624e-01 1.529040e+03 1.655142e-02
8.066704e-01 1.510067e+03 1.689918e-02
8.202018e-01 1.491329e+03 1.725425e-02
8.339601e-01 1.472824e+03 1.761678e-02
8.479491e-01 1.454547e+03 1.798693e-02
8.621729e-01 1.436497e+03 1.836486e-02
8.766352e-01 1.418670e+03 1.875073e-02
8.913401e-01 1.401065e+03 1.914470e-02
9.062917e-01 1.383677e+03 1.954696e-02
9.214941e-01 1.366505e+03 1.995766e-02
9.369515e-01 1.349545e+03 2.037699e-02
9.526682e-01 1.332796e+03 2.080514e-02
9.686485e-01 1.316254e+03 2.124228e-02
9.848969e-01 1.299917e+03 2.168861e-02
1.001418e+00 1.283782e+03 2.214431e-02
1.018216e+00 1.267847e+03 2.260959e-02
1.035296e+00 1.252110e+03 2.308465e-02
1.052662e+00 1.236567e+03 2.356968e-02
1.070320e+00 1.221217e+03 2.406491e-02
1.088274e+00 1.206057e+03 2.457054e-02
1.106529e+00 1.191085e+03 2.508680e-02
1.125090e+00 1.176298e+03 2.561391e-02
1.143962e+00 1.161694e+03 2.615209e-02
1.163151e+00 1.147271e+03 2.670157e-02
1.182662e+00 1.133026e+03 2.726261e-02
1.202501e+00 1.118958e+03 2.783543e-02
1.222672e+00 1.105065e+03 2.842029e-02
1.243181e+00 1.091343e+03 2.901743e-02
1.264035e+00 1.077791e+03 2.962713e-02
1.285238e+00 1.064407e+03 3.024963e-02
1.306797e+00 1.051188e+03 3.088521e-02
1.328718e+00 1.038133e+03 3.153415e-02
1.351006e+00 1.025240e+03 3.219672e-02
1.373668e+00 1.012506e+03 3.287322e-02
